match_id,ist_fall,status,espn_hz,fd_hz,eigentor_h1
B1-0607-2007-05-12-anderlecht-brussels,0,Endstand weicht ab,0:0,2:0,0
B1-0607-2007-05-12-genk-charleroi,0,Endstand weicht ab,0:0,0:1,0
B1-0607-2007-05-12-gent-germinal,0,Endstand weicht ab,0:0,0:2,0
B1-0607-2007-05-18-germinal-roeselare,0,Endstand weicht ab,0:0,1:0,0
B1-0607-2007-05-19-charleroi-waregem,0,Endstand weicht ab,0:0,1:0,0
B1-0607-2007-05-19-club-brugge-cercle-brugge,0,Endstand weicht ab,0:0,1:1,0
B1-0708-2007-08-04-charleroi-roeselare,0,Endstand weicht ab,0:0,1:0,0
B1-0708-2007-08-04-club-brugge-bergen,0,Endstand weicht ab,0:0,1:1,0
B1-0708-2007-08-04-genk-cercle-brugge,0,Endstand weicht ab,0:0,3:1,0
B1-0708-2007-08-11-anderlecht-lokeren,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2007-08-11-standard-brussels,0,Halbzeit stimmt,2:0,2:0,0
B1-0708-2007-08-17-club-brugge-st-truiden,0,Halbzeit stimmt,1:2,1:2,0
B1-0708-2007-08-18-charleroi-mechelen,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2007-08-18-genk-roeselare,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2007-08-19-standard-cercle-brugge,0,Halbzeit stimmt,3:1,3:1,0
B1-0708-2007-08-25-anderlecht-brussels,0,Halbzeit stimmt,2:0,2:0,0
B1-0708-2007-08-25-cercle-brugge-dender,0,Halbzeit stimmt,1:0,1:0,0
B1-0708-2007-08-25-gent-waregem,1,Halbzeit stimmt,1:1,1:1,0
B1-0708-2007-08-31-charleroi-bergen,0,Halbzeit stimmt,1:1,1:1,0
B1-0708-2007-09-01-genk-westerlo,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2007-09-15-anderlecht-waregem,0,Halbzeit stimmt,1:0,1:0,0
B1-0708-2007-09-15-club-brugge-lokeren,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2007-09-15-westerlo-dender,0,Halbzeit stimmt,0:0,0:0,0
