datum,liga,liga_code,saison,team,gegner,vorquote_fair,torniveau_liga_saison,minute_gegentor,modell_p_sieg,modell_faire_quote,lohnt_ab_quote,live_quote_notiert,einsatz,notiert_am,bemerkung,endstand,ergebnis,treffer
2006-01-02,Premier League,E0,0506,Fulham,Sunderland,1.6901,2.484,7,0.3972,2.52,2.65,,,,,2:1,sieg,1
2006-01-04,Ligue 1,F1,0506,st etienne,troyes,1.7959,2.134,34,0.2549,3.92,4.13,,,,,1:1,unentschieden,0
2006-01-08,Serie A,I1,0506,lazio,ascoli,1.6901,2.608,13,0.3718,2.69,2.83,,,,,4:1,sieg,1
2006-01-08,Serie A,I1,0506,milan,parma,1.2753,2.608,24,0.5965,1.68,1.77,,,,,4:3,sieg,1
2006-01-11,Ligue 1,F1,0506,lens,nancy,1.7472,2.134,29,0.2877,3.48,3.66,,,,,1:2,niederlage,0
2006-01-11,Ligue 1,F1,0506,lyon,marseille,1.7472,2.134,19,0.3257,3.07,3.23,,,,,2:1,sieg,1
2006-01-14,Scottish Premiership,SC0,0506,hibernian,aberdeen,1.782,2.811,4,0.3741,2.67,2.81,,,,,1:2,niederlage,0
2006-01-15,Eredivisie,N1,0506,ajax,nijmegen,1.4267,2.98,5,0.5499,1.82,1.91,,,,,1:1,unentschieden,0
2006-01-15,La Liga,SP1,0506,barcelona,ath bilbao,1.2558,2.463,16,0.6509,1.54,1.62,,,,,2:1,sieg,1
2006-01-15,La Liga,SP1,0506,la coruna,alaves,1.552,2.463,22,0.3977,2.51,2.65,,,,,0:2,niederlage,0
2006-01-21,Ligue 1,F1,0506,bordeaux,strasbourg,1.6167,2.134,9,0.4215,2.37,2.5,,,,,2:1,sieg,1
2006-01-21,Eredivisie,N1,0506,az alkmaar,groningen,1.4803,2.98,16,0.4652,2.15,2.26,,,,,1:1,unentschieden,0
2006-01-21,Eredivisie,N1,0506,vitesse,willem ii,1.6786,2.98,24,0.3316,3.02,3.18,,,,,2:1,sieg,1
2006-01-22,Serie A,I1,0506,juventus,empoli,1.2297,2.608,3,0.7282,1.37,1.45,,,,,2:1,sieg,1
