datum,liga,liga_code,saison,team,gegner,vorquote_fair,torniveau_liga_saison,minute_gegentor,modell_p_sieg,modell_faire_quote,lohnt_ab_quote,live_quote_notiert,einsatz,notiert_am,bemerkung,endstand,ergebnis,treffer
2009-04-12,Ligue 1,F1,0809,lyon,monaco,1.4501,2.258,34,0.4054,2.47,2.6,,,,,2:2,unentschieden,0
2009-04-12,Griechenland Super League,G1,0809,aek,aris,1.6803,2.163,23,0.3349,2.99,3.14,,,,,0:1,niederlage,0
2009-04-18,Belgien Pro League,B1,0809,club brugge,bergen,1.3815,2.797,15,0.5392,1.85,1.95,,,,,3:2,sieg,1
2009-04-21,La Liga,SP1,0809,real madrid,getafe,1.3314,2.897,10,0.6027,1.66,1.75,,,,,3:2,sieg,1
2009-04-23,La Liga,SP1,0809,villarreal,recreativo,1.7583,2.897,1,0.3956,2.53,2.66,,,,,2:1,sieg,1
2009-04-25,Bundesliga,D1,0809,bayern munich,schalke 04,1.7221,2.922,21,0.3269,3.06,3.22,,,,,0:1,niederlage,0
2009-04-25,Bundesliga,D1,0809,werder bremen,bochum,1.5714,2.922,16,0.4135,2.42,2.55,,,,,3:2,sieg,1
2009-04-25,Premier League,E0,0809,Manchester United,Tottenham,1.52,2.479,29,0.3851,2.6,2.73,,,,,5:2,sieg,1
2009-04-25,Süper Lig,T1,0809,fenerbahce,ankaragucu,1.5657,2.572,4,0.4693,2.13,2.24,,,,,1:2,niederlage,0
2009-04-26,Griechenland Super League,G1,0809,aris,panthrakikos,1.2839,2.163,28,0.5701,1.75,1.85,,,,,3:2,sieg,1
2009-05-03,Serie A,I1,0809,juventus,lecce,1.4533,2.6,11,0.505,1.98,2.09,,,,,2:2,unentschieden,0
2009-05-09,Primeira Liga,P1,0809,benfica,trofense,1.3327,2.3,30,0.5136,1.95,2.05,,,,,2:2,unentschieden,0
2009-05-09,La Liga,SP1,0809,sevilla,mallorca,1.638,2.897,16,0.3815,2.62,2.76,,,,,3:1,sieg,1
2009-05-09,Süper Lig,T1,0809,sivasspor,buyuksehyr,1.4225,2.572,8,0.5396,1.85,1.95,,,,,1:2,niederlage,0
2009-05-10,Serie A,I1,0809,lecce,napoli,1.7265,2.6,33,0.28,3.57,3.76,,,,,1:1,unentschieden,0
2009-05-10,Eredivisie,N1,0809,feyenoord,roda jc,1.6952,2.843,14,0.3656,2.74,2.88,,,,,2:3,niederlage,0
2009-05-10,Eredivisie,N1,0809,nijmegen,sparta,1.7714,2.843,25,0.2945,3.4,3.58,,,,,1:1,unentschieden,0
2009-05-16,Bundesliga,D1,0809,hamburg,koln,1.3314,2.922,9,0.607,1.65,1.73,,,,,0:1,niederlage,0
2009-05-16,Bundesliga,D1,0809,werder bremen,karlsruhe,1.6748,2.922,28,0.3174,3.15,3.32,,,,,1:3,niederlage,0
2009-05-16,Ligue 1,F1,0809,bordeaux,le mans,1.331,2.258,24,0.5419,1.85,1.94,,,,,3:2,sieg,1
2009-05-16,Ligue 1,F1,0809,lorient,le havre,1.7092,2.258,11,0.3725,2.68,2.83,,,,,1:1,unentschieden,0
2009-05-17,Ligue 1,F1,0809,lille,nice,1.7221,2.258,34,0.2779,3.6,3.79,,,,,1:1,unentschieden,0
2009-05-17,Serie A,I1,0809,juventus,atalanta,1.3314,2.6,2,0.6364,1.57,1.65,,,,,2:2,unentschieden,0
2009-05-24,Serie A,I1,0809,torino,genoa,1.4978,2.6,32,0.3849,2.6,2.74,,,,,2:3,niederlage,0
2009-05-24,Süper Lig,T1,0809,sivasspor,genclerbirligi,1.5815,2.572,22,0.3827,2.61,2.75,,,,,3:2,sieg,1
2009-05-30,Süper Lig,T1,0809,genclerbirligi,kayserispor,1.7515,2.572,11,0.3562,2.81,2.96,,,,,0:4,niederlage,0
2009-05-31,Serie A,I1,0809,roma,torino,1.7595,2.6,9,0.3615,2.77,2.91,,,,,3:2,sieg,1
2009-05-31,La Liga,SP1,0809,sp gijon,recreativo,1.4225,2.897,23,0.4726,2.12,2.23,,,,,2:1,sieg,1
2009-07-31,Belgien Pro League,B1,0910,standard,st truiden,1.2972,2.69,24,0.574,1.74,1.83,,,,,2:2,unentschieden,0
2009-08-08,Bundesliga,D1,0910,werder bremen,ein frankfurt,1.4861,2.83,6,0.5062,1.98,2.08,,,,,2:3,niederlage,0
2009-08-15,Ligue 1,F1,0910,paris sg,le mans,1.72,2.411,21,0.3277,3.05,3.21,,,,,3:1,sieg,1
2009-08-16,Eredivisie,N1,0910,utrecht,vvv venlo,1.6266,2.915,3,0.4431,2.26,2.38,,,,,2:2,unentschieden,0
2009-08-16,Primeira Liga,P1,0910,benfica,maritimo,1.54,2.504,25,0.3912,2.56,2.69,,,,,1:1,unentschieden,0
2009-08-22,Eredivisie,N1,0910,vitesse,den haag,1.7041,2.915,18,0.3457,2.89,3.05,,,,,1:3,niederlage,0
2009-08-23,Belgien Pro League,B1,0910,club brugge,kortrijk,1.452,2.69,21,0.4612,2.17,2.28,,,,,2:2,unentschieden,0
2009-08-23,Eredivisie,N1,0910,psv eindhoven,nac breda,1.5265,2.915,8,0.4731,2.11,2.23,,,,,3:1,sieg,1
2009-08-29,Bundesliga,D1,0910,leverkusen,bochum,1.4861,2.83,32,0.3917,2.55,2.69,,,,,2:1,sieg,1
2009-08-29,Eredivisie,N1,0910,nijmegen,vvv venlo,1.7793,2.915,32,0.2667,3.75,3.95,,,,,1:1,unentschieden,0
2009-09-12,Belgien Pro League,B1,0910,waregem,kortrijk,1.7793,2.69,12,0.3422,2.92,3.08,,,,,0:2,niederlage,0
2009-09-12,Eredivisie,N1,0910,twente,utrecht,1.5893,2.915,8,0.4393,2.28,2.4,,,,,3:2,sieg,1
2009-09-12,Scottish Premiership,SC0,0910,celtic,dundee united,1.3234,2.566,6,0.6267,1.6,1.68,,,,,1:1,unentschieden,0
2009-09-13,Serie A,I1,0910,palermo,bari,1.72,2.611,2,0.4064,2.46,2.59,,,,,1:1,unentschieden,0
2009-09-13,Serie A,I1,0910,udinese,catania,1.7808,2.611,11,0.3457,2.89,3.05,,,,,4:2,sieg,1
2009-09-19,Bundesliga,D1,0910,stuttgart,koln,1.5383,2.83,25,0.3921,2.55,2.69,,,,,0:2,niederlage,0
2009-09-20,Scottish Premiership,SC0,0910,celtic,hearts,1.4225,2.566,5,0.5529,1.81,1.9,,,,,2:1,sieg,1
2009-09-20,La Liga,SP1,0910,valencia,sp gijon,1.3747,2.713,7,0.5798,1.72,1.82,,,,,2:2,unentschieden,0
2009-09-21,Primeira Liga,P1,0910,sp lisbon,olhanense,1.3636,2.504,9,0.5799,1.72,1.82,,,,,3:2,sieg,1
2009-09-23,Belgien Pro League,B1,0910,club brugge,waregem,1.6447,2.69,22,0.3536,2.83,2.98,,,,,3:1,sieg,1
2009-09-23,La Liga,SP1,0910,ath madrid,almeria,1.5383,2.713,26,0.3879,2.58,2.71,,,,,2:2,unentschieden,0
2009-09-26,Ligue 1,F1,0910,lyon,toulouse,1.5294,2.411,9,0.467,2.14,2.25,,,,,2:1,sieg,1
2009-09-26,Eredivisie,N1,0910,twente,vvv venlo,1.4181,2.915,3,0.5648,1.77,1.86,,,,,2:1,sieg,1
2009-09-27,Eredivisie,N1,0910,nijmegen,heracles,1.7102,2.915,9,0.3805,2.63,2.77,,,,,0:2,niederlage,0
2009-10-03,Ligue 1,F1,0910,paris sg,nancy,1.6729,2.411,14,0.3748,2.67,2.81,,,,,1:1,unentschieden,0
2009-10-03,Ligue 1,F1,0910,rennes,auxerre,1.7329,2.411,17,0.3388,2.95,3.11,,,,,0:1,niederlage,0
2009-10-04,Ligue 1,F1,0910,marseille,monaco,1.6266,2.411,20,0.3699,2.7,2.85,,,,,1:2,niederlage,0
2009-10-17,Ligue 1,F1,0910,lyon,sochaux,1.3782,2.411,17,0.5329,1.88,1.98,,,,,0:2,niederlage,0
2009-10-18,Griechenland Super League,G1,0910,aek,panthrakikos,1.3091,2.337,26,0.5535,1.81,1.9,,,,,3:2,sieg,1
2009-10-18,Serie A,I1,0910,napoli,bologna,1.6518,2.611,14,0.3839,2.61,2.74,,,,,2:1,sieg,1
2009-10-18,Serie A,I1,0910,udinese,atalanta,1.7808,2.611,4,0.3745,2.67,2.81,,,,,1:3,niederlage,0
2009-10-24,Griechenland Super League,G1,0910,olympiakos,ergotelis,1.3327,2.337,22,0.5492,1.82,1.92,,,,,2:1,sieg,1
2009-10-31,Ligue 1,F1,0910,marseille,toulouse,1.7033,2.411,28,0.3067,3.26,3.43,,,,,1:1,unentschieden,0
2009-11-01,Serie A,I1,0910,roma,bologna,1.7808,2.611,32,0.2663,3.76,3.95,,,,,2:1,sieg,1
2009-11-01,Primeira Liga,P1,0910,nacional,setubal,1.6429,2.504,11,0.4006,2.5,2.63,,,,,2:1,sieg,1
2009-11-07,Belgien Pro League,B1,0910,germinal,st truiden,1.7049,2.69,24,0.3215,3.11,3.28,,,,,4:1,sieg,1
2009-11-07,Premier League,E0,0910,Manchester City,Burnley,1.4009,2.771,19,0.5064,1.97,2.08,,,,,3:3,unentschieden,0
2009-11-07,Eredivisie,N1,0910,nijmegen,waalwijk,1.5383,2.915,32,0.3627,2.76,2.9,,,,,0:1,niederlage,0
2009-11-08,Serie A,I1,0910,inter,roma,1.7265,2.611,13,0.3574,2.8,2.95,,,,,1:1,unentschieden,0
2009-11-21,Ligue 1,F1,0910,bordeaux,valenciennes,1.4889,2.411,7,0.5,2.0,2.11,,,,,0:1,niederlage,0
2009-11-21,Eredivisie,N1,0910,nac breda,nijmegen,1.72,2.915,10,0.3724,2.69,2.83,,,,,3:3,unentschieden,0
2009-11-28,La Liga,SP1,0910,sevilla,malaga,1.3314,2.713,22,0.5504,1.82,1.91,,,,,2:2,unentschieden,0
2009-11-28,Süper Lig,T1,0910,fenerbahce,kasimpasa,1.3273,2.434,1,0.644,1.55,1.64,,,,,1:3,niederlage,0
2009-11-29,Ligue 1,F1,0910,lyon,rennes,1.6574,2.411,14,0.3814,2.62,2.76,,,,,1:1,unentschieden,0
2009-11-29,La Liga,SP1,0910,getafe,xerez,1.6058,2.713,33,0.3264,3.06,3.23,,,,,5:1,sieg,1
2009-12-04,Eredivisie,N1,0910,nac breda,sparta,1.7209,2.915,24,0.3156,3.17,3.34,,,,,2:2,unentschieden,0
2009-12-05,Bundesliga,D1,0910,wolfsburg,freiburg,1.6375,2.83,19,0.3692,2.71,2.85,,,,,2:2,unentschieden,0
2009-12-05,La Liga,SP1,0910,sevilla,valladolid,1.42,2.713,33,0.4301,2.32,2.45,,,,,1:1,unentschieden,0
2009-12-06,Eredivisie,N1,0910,feyenoord,groningen,1.7265,2.915,4,0.3952,2.53,2.66,,,,,3:1,sieg,1
2009-12-12,Premier League,E0,0910,Chelsea,Everton,1.3106,2.771,12,0.6129,1.63,1.72,,,,,3:3,unentschieden,0
2009-12-12,Premier League,E0,0910,Manchester United,Aston Villa,1.5714,2.771,21,0.392,2.55,2.69,,,,,0:1,niederlage,0
2009-12-12,Premier League,E0,0910,Tottenham,Wolves,1.3135,2.771,3,0.6478,1.54,1.63,,,,,0:1,niederlage,0
2009-12-12,Griechenland Super League,G1,0910,aris,asteras tripolis,1.7808,2.337,12,0.3417,2.93,3.08,,,,,0:1,niederlage,0
2009-12-12,Primeira Liga,P1,0910,sp lisbon,leiria,1.54,2.504,27,0.3827,2.61,2.75,,,,,0:1,niederlage,0
2009-12-12,Scottish Premiership,SC0,0910,aberdeen,hamilton,1.782,2.566,32,0.2659,3.76,3.96,,,,,1:2,niederlage,0
2009-12-18,Süper Lig,T1,0910,besiktas,bursaspor,1.7137,2.434,19,0.338,2.96,3.12,,,,,2:3,niederlage,0
2009-12-19,La Liga,SP1,0910,sevilla,getafe,1.7111,2.713,12,0.3675,2.72,2.86,,,,,1:2,niederlage,0
2009-12-19,Süper Lig,T1,0910,kayserispor,antalyaspor,1.6803,2.434,5,0.41,2.44,2.57,,,,,1:2,niederlage,0
2009-12-20,Serie A,I1,0910,juventus,catania,1.413,2.611,23,0.4795,2.09,2.2,,,,,1:2,niederlage,0
2009-12-26,Belgien Pro League,B1,0910,club brugge,cercle brugge,1.5349,2.69,21,0.4111,2.43,2.56,,,,,2:1,sieg,1
2009-12-28,Premier League,E0,0910,Chelsea,Fulham,1.4382,2.771,4,0.5464,1.83,1.93,,,,,2:1,sieg,1
2010-01-06,Griechenland Super League,G1,0910,panathinaikos,ergotelis,1.3753,2.337,8,0.575,1.74,1.83,,,,,4:1,sieg,1
2010-01-06,Serie A,I1,0910,lazio,livorno,1.7808,2.611,7,0.362,2.76,2.91,,,,,4:1,sieg,1
2010-01-06,Serie A,I1,0910,milan,genoa,1.6803,2.611,25,0.327,3.06,3.22,,,,,5:2,sieg,1
2010-01-09,Premier League,E0,0910,Arsenal,Everton,1.4758,2.771,12,0.4859,2.06,2.17,,,,,2:2,unentschieden,0
2010-01-09,Serie A,I1,0910,inter,siena,1.28,2.611,18,0.6172,1.62,1.71,,,,,4:3,sieg,1
2010-01-09,La Liga,SP1,0910,sevilla,santander,1.6717,2.713,26,0.3265,3.06,3.23,,,,,1:2,niederlage,0
2010-01-10,Griechenland Super League,G1,0910,aek,atromitos,1.576,2.337,9,0.4417,2.26,2.38,,,,,3:3,unentschieden,0
2010-01-10,Serie A,I1,0910,fiorentina,bari,1.7464,2.611,25,0.3028,3.3,3.48,,,,,2:1,sieg,1
2010-01-16,Bundesliga,D1,0910,leverkusen,mainz,1.488,2.83,8,0.4961,2.02,2.12,,,,,4:2,sieg,1
2010-01-16,Primeira Liga,P1,0910,guimaraes,setubal,1.6321,2.504,3,0.4405,2.27,2.39,,,,,2:2,unentschieden,0
2010-01-16,Primeira Liga,P1,0910,sp lisbon,nacional,1.6321,2.504,24,0.3509,2.85,3.0,,,,,3:2,sieg,1
2010-01-16,Scottish Premiership,SC0,0910,celtic,falkirk,1.2593,2.566,19,0.6348,1.58,1.66,,,,,1:1,unentschieden,0
2010-01-17,Serie A,I1,0910,fiorentina,bologna,1.6,2.611,28,0.349,2.87,3.02,,,,,1:2,niederlage,0
2010-01-20,Premier League,E0,0910,Arsenal,bolton,1.2936,2.771,7,0.6496,1.54,1.62,,,,,4:2,sieg,1
2010-01-20,Ligue 1,F1,0910,marseille,le mans,1.42,2.411,16,0.5057,1.98,2.08,,,,,2:1,sieg,1
2010-01-23,Belgien Pro League,B1,0910,lokeren,roeselare,1.663,2.69,23,0.3419,2.92,3.08,,,,,1:4,niederlage,0
2010-01-24,Bundesliga,D1,0910,wolfsburg,koln,1.6058,2.83,7,0.4355,2.3,2.42,,,,,2:3,niederlage,0
2010-01-24,Griechenland Super League,G1,0910,olympiakos,paok,1.6474,2.337,20,0.3607,2.77,2.92,,,,,0:1,niederlage,0
2010-01-27,Scottish Premiership,SC0,0910,dundee united,st johnstone,1.7675,2.566,6,0.371,2.7,2.84,,,,,3:3,unentschieden,0
2010-01-30,Scottish Premiership,SC0,0910,hibernian,st mirren,1.7808,2.566,9,0.3538,2.83,2.98,,,,,2:1,sieg,1
2010-01-31,Belgien Pro League,B1,0910,gent,waregem,1.7793,2.69,7,0.3626,2.76,2.9,,,,,0:2,niederlage,0
2010-01-31,Belgien Pro League,B1,0910,standard,kortrijk,1.782,2.69,15,0.3293,3.04,3.2,,,,,3:1,sieg,1
2010-01-31,La Liga,SP1,0910,ath madrid,malaga,1.5879,2.713,3,0.4622,2.16,2.28,,,,,0:2,niederlage,0
2010-01-31,La Liga,SP1,0910,villarreal,osasuna,1.6803,2.713,15,0.3675,2.72,2.87,,,,,0:2,niederlage,0
2010-02-02,Scottish Premiership,SC0,0910,aberdeen,falkirk,1.7808,2.566,31,0.2698,3.71,3.9,,,,,0:1,niederlage,0
2010-02-06,Griechenland Super League,G1,0910,aek,xanthi,1.525,2.337,9,0.4695,2.13,2.24,,,,,3:1,sieg,1
2010-02-06,Primeira Liga,P1,0910,sp lisbon,academica,1.4983,2.504,3,0.5121,1.95,2.06,,,,,1:2,niederlage,0
2010-02-07,Bundesliga,D1,0910,dortmund,ein frankfurt,1.72,2.83,8,0.3808,2.63,2.77,,,,,2:3,niederlage,0
2010-02-10,Scottish Premiership,SC0,0910,dundee united,hamilton,1.6266,2.566,23,0.3574,2.8,2.95,,,,,0:2,niederlage,0
2010-02-13,Bundesliga,D1,0910,bayern munich,dortmund,1.4278,2.83,5,0.5492,1.82,1.92,,,,,3:1,sieg,1
2010-02-14,Griechenland Super League,G1,0910,aris,ergotelis,1.6729,2.337,2,0.4263,2.35,2.47,,,,,2:1,sieg,1
2010-02-14,Primeira Liga,P1,0910,leiria,setubal,1.7644,2.504,10,0.3556,2.81,2.96,,,,,3:3,unentschieden,0
2010-02-21,Premier League,E0,0910,Aston Villa,Burnley,1.4382,2.771,10,0.5197,1.92,2.03,,,,,5:2,sieg,1
2010-02-21,Eredivisie,N1,0910,feyenoord,den haag,1.3342,2.915,10,0.6003,1.67,1.75,,,,,2:2,unentschieden,0
2010-02-27,Primeira Liga,P1,0910,sp braga,olhanense,1.4165,2.504,15,0.5127,1.95,2.05,,,,,3:1,sieg,1
2010-02-28,Ligue 1,F1,0910,lille,auxerre,1.72,2.411,19,0.3356,2.98,3.14,,,,,1:2,niederlage,0
2010-03-06,Bundesliga,D1,0910,wolfsburg,bochum,1.5696,2.83,28,0.3634,2.75,2.9,,,,,4:1,sieg,1
2010-03-06,Eredivisie,N1,0910,az alkmaar,heerenveen,1.6058,2.915,20,0.3794,2.64,2.78,,,,,4:1,sieg,1
2010-03-06,Primeira Liga,P1,0910,porto,olhanense,1.3105,2.504,13,0.6087,1.64,1.73,,,,,2:2,unentschieden,0
2010-03-06,Scottish Premiership,SC0,0910,rangers,st mirren,1.28,2.566,30,0.5654,1.77,1.86,,,,,3:1,sieg,1
2010-03-06,La Liga,SP1,0910,la coruna,tenerife,1.7317,2.713,17,0.3392,2.95,3.1,,,,,3:1,sieg,1
2010-03-06,La Liga,SP1,0910,real madrid,sevilla,1.4861,2.713,10,0.4883,2.05,2.16,,,,,3:2,sieg,1
2010-03-06,Süper Lig,T1,0910,trabzonspor,genclerbirligi,1.7265,2.434,25,0.3098,3.23,3.4,,,,,3:1,sieg,1
2010-03-07,La Liga,SP1,0910,malaga,xerez,1.7317,2.713,5,0.3889,2.57,2.71,,,,,2:4,niederlage,0
2010-03-12,Eredivisie,N1,0910,twente,den haag,1.3314,2.915,1,0.6406,1.56,1.64,,,,,3:1,sieg,1
2010-03-13,Bundesliga,D1,0910,bayern munich,freiburg,1.236,2.83,31,0.6111,1.64,1.72,,,,,2:1,sieg,1
2010-03-13,Ligue 1,F1,0910,nancy,boulogne,1.7808,2.411,33,0.2628,3.81,4.01,,,,,1:3,niederlage,0
2010-03-14,Belgien Pro League,B1,0910,gent,charleroi,1.638,2.69,25,0.3443,2.9,3.06,,,,,2:1,sieg,1
2010-03-20,Bundesliga,D1,0910,werder bremen,bochum,1.4138,2.83,14,0.5191,1.93,2.03,,,,,3:2,sieg,1
2010-03-21,Bundesliga,D1,0910,wolfsburg,hertha,1.6058,2.83,6,0.4399,2.27,2.39,,,,,1:5,niederlage,0
2010-03-21,Premier League,E0,0910,Manchester United,Liverpool,1.749,2.771,5,0.3822,2.62,2.76,,,,,2:1,sieg,1
2010-03-21,Serie A,I1,0910,milan,napoli,1.6776,2.611,13,0.377,2.65,2.79,,,,,1:1,unentschieden,0
2010-03-24,Premier League,E0,0910,Aston Villa,Sunderland,1.6212,2.771,22,0.364,2.75,2.89,,,,,1:1,unentschieden,0
2010-03-27,Süper Lig,T1,0910,besiktas,eskisehirspor,1.638,2.434,2,0.4421,2.26,2.38,,,,,3:2,sieg,1
2010-03-28,La Liga,SP1,0910,real madrid,ath madrid,1.3776,2.713,10,0.5644,1.77,1.87,,,,,3:2,sieg,1
2010-04-02,Primeira Liga,P1,0910,sp braga,guimaraes,1.7583,2.504,18,0.3257,3.07,3.23,,,,,3:2,sieg,1
2010-04-03,Bundesliga,D1,0910,stuttgart,m gladbach,1.4861,2.83,33,0.3874,2.58,2.72,,,,,2:1,sieg,1
2010-04-03,Ligue 1,F1,0910,bordeaux,nancy,1.5524,2.411,18,0.4147,2.41,2.54,,,,,1:2,niederlage,0
2010-04-03,Eredivisie,N1,0910,roda jc,waalwijk,1.4463,2.915,7,0.5276,1.9,2.0,,,,,5:1,sieg,1
2010-04-03,Primeira Liga,P1,0910,porto,maritimo,1.4039,2.504,1,0.5838,1.71,1.8,,,,,4:1,sieg,1
2010-04-03,Scottish Premiership,SC0,0910,motherwell,falkirk,1.7793,2.566,27,0.2846,3.51,3.7,,,,,0:1,niederlage,0
2010-04-03,Süper Lig,T1,0910,bursaspor,antalyaspor,1.5349,2.434,7,0.4728,2.11,2.23,,,,,2:1,sieg,1
2010-04-11,Serie A,I1,0910,milan,catania,1.4533,2.611,12,0.5005,2.0,2.1,,,,,2:2,unentschieden,0
2010-04-11,Serie A,I1,0910,palermo,chievo,1.54,2.611,18,0.4214,2.37,2.5,,,,,3:1,sieg,1
2010-04-11,Eredivisie,N1,0910,utrecht,den haag,1.6748,2.915,17,0.3615,2.77,2.91,,,,,0:2,niederlage,0
2010-04-11,Primeira Liga,P1,0910,maritimo,belenenses,1.7808,2.504,2,0.3829,2.61,2.75,,,,,3:3,unentschieden,0
2010-04-14,La Liga,SP1,0910,ath madrid,xerez,1.4533,2.713,9,0.5139,1.95,2.05,,,,,1:2,niederlage,0
2010-04-17,Bundesliga,D1,0910,hamburg,mainz,1.5349,2.83,20,0.4155,2.41,2.53,,,,,0:1,niederlage,0
2010-04-18,Eredivisie,N1,0910,psv eindhoven,groningen,1.4138,2.915,3,0.5679,1.76,1.85,,,,,3:1,sieg,1
2010-04-19,Primeira Liga,P1,0910,sp lisbon,setubal,1.375,2.504,11,0.562,1.78,1.87,,,,,2:1,sieg,1
2010-04-24,Ligue 1,F1,0910,nice,grenoble,1.6776,2.411,22,0.34,2.94,3.1,,,,,2:1,sieg,1
2010-04-24,Serie A,I1,0910,inter,atalanta,1.2972,2.611,5,0.6543,1.53,1.61,,,,,3:1,sieg,1
2010-04-25,Serie A,I1,0910,bologna,parma,1.65,2.611,23,0.3473,2.88,3.03,,,,,2:1,sieg,1
2010-05-01,Bundesliga,D1,0910,leverkusen,hertha,1.4138,2.83,12,0.5281,1.89,1.99,,,,,1:1,unentschieden,0
2010-05-02,Ligue 1,F1,0910,rennes,sochaux,1.72,2.411,28,0.3007,3.33,3.5,,,,,1:2,niederlage,0
2010-05-02,Eredivisie,N1,0910,feyenoord,heerenveen,1.6375,2.915,12,0.3988,2.51,2.64,,,,,6:2,sieg,1
2010-05-02,La Liga,SP1,0910,real madrid,osasuna,1.2007,2.713,7,0.746,1.34,1.41,,,,,3:2,sieg,1
2010-05-04,La Liga,SP1,0910,getafe,sp gijon,1.6748,2.713,18,0.3574,2.8,2.95,,,,,1:1,unentschieden,0
2010-05-05,Ligue 1,F1,0910,lyon,auxerre,1.7317,2.411,15,0.3473,2.88,3.03,,,,,2:1,sieg,1
2010-05-08,Ligue 1,F1,0910,lille,marseille,1.6857,2.411,6,0.4034,2.48,2.61,,,,,3:2,sieg,1
2010-05-08,Ligue 1,F1,0910,rennes,nice,1.7464,2.411,12,0.354,2.82,2.97,,,,,2:2,unentschieden,0
2010-05-09,Serie A,I1,0910,fiorentina,siena,1.4454,2.611,3,0.5459,1.83,1.93,,,,,1:1,unentschieden,0
2010-05-09,Serie A,I1,0910,inter,chievo,1.163,2.611,12,0.7755,1.29,1.36,,,,,4:3,sieg,1
2010-05-16,Serie A,I1,0910,cagliari,bologna,1.7299,2.611,3,0.3981,2.51,2.65,,,,,1:1,unentschieden,0
2010-08-14,Belgien Pro League,B1,1011,gent,eupen,1.4138,2.646,24,0.4745,2.11,2.22,,,,,2:1,sieg,1
2010-08-14,Eredivisie,N1,1011,ajax,vitesse,1.2319,3.225,26,0.6371,1.57,1.65,,,,,4:2,sieg,1
2010-08-21,Eredivisie,N1,1011,heerenveen,nac breda,1.678,3.225,1,0.4284,2.33,2.46,,,,,3:1,sieg,1
2010-08-22,Belgien Pro League,B1,1011,club brugge,mechelen,1.7317,2.646,19,0.3312,3.02,3.18,,,,,1:2,niederlage,0
2010-08-22,Scottish Premiership,SC0,1011,dundee united,inverness c,1.782,2.561,34,0.259,3.86,4.07,,,,,0:4,niederlage,0
2010-08-28,Bundesliga,D1,1011,schalke 04,hannover,1.413,2.922,31,0.444,2.25,2.37,,,,,1:2,niederlage,0
2010-08-28,Scottish Premiership,SC0,1011,rangers,st johnstone,1.2972,2.561,25,0.5696,1.76,1.85,,,,,2:1,sieg,1
2010-08-29,Bundesliga,D1,1011,leverkusen,m gladbach,1.4563,2.922,20,0.4628,2.16,2.28,,,,,3:6,niederlage,0
2010-08-29,Ligue 1,F1,1011,lille,nice,1.6,2.342,34,0.325,3.08,3.24,,,,,1:1,unentschieden,0
2010-08-29,Griechenland Super League,G1,1011,paok,panserraikos,1.382,2.2,19,0.521,1.92,2.02,,,,,3:2,sieg,1
2010-09-10,Süper Lig,T1,1011,bursaspor,eskisehirspor,1.5893,2.739,19,0.3916,2.55,2.69,,,,,2:1,sieg,1
2010-09-11,Premier League,E0,1011,Manchester City,blackburn,1.399,2.797,25,0.481,2.08,2.19,,,,,1:1,unentschieden,0
2010-09-11,Eredivisie,N1,1011,az alkmaar,roda,1.7265,3.225,6,0.3867,2.59,2.72,,,,,1:2,niederlage,0
2010-09-11,Primeira Liga,P1,1011,porto,sp braga,1.6748,2.433,16,0.3656,2.73,2.88,,,,,3:2,sieg,1
2010-09-11,La Liga,SP1,1011,barcelona,hercules,1.1275,2.742,27,0.7805,1.28,1.35,,,,,0:2,niederlage,0
2010-09-12,Ligue 1,F1,1011,marseille,monaco,1.7111,2.342,15,0.3552,2.82,2.96,,,,,2:2,unentschieden,0
2010-09-18,Serie A,I1,1011,milan,catania,1.3919,2.513,27,0.4775,2.09,2.21,,,,,1:1,unentschieden,0
2010-09-19,Griechenland Super League,G1,1011,paok,olympiakos volou,1.4572,2.2,22,0.4533,2.21,2.32,,,,,1:1,unentschieden,0
2010-09-19,Eredivisie,N1,1011,utrecht,vvv venlo,1.4978,3.225,16,0.4544,2.2,2.32,,,,,3:2,sieg,1
2010-09-25,Bundesliga,D1,1011,bayern munich,mainz,1.5383,2.922,15,0.4355,2.3,2.42,,,,,1:2,niederlage,0
2010-09-25,Bundesliga,D1,1011,schalke 04,m gladbach,1.638,2.922,15,0.3858,2.59,2.73,,,,,2:2,unentschieden,0
2010-09-26,Serie A,I1,1011,palermo,lecce,1.6725,2.513,8,0.4004,2.5,2.63,,,,,2:2,unentschieden,0
2010-09-26,Eredivisie,N1,1011,nac breda,willem ii,1.5383,3.225,7,0.4709,2.12,2.24,,,,,2:1,sieg,1
2010-10-02,Bundesliga,D1,1011,hamburg,kaiserslautern,1.5972,2.922,3,0.4575,2.19,2.3,,,,,2:1,sieg,1
2010-10-02,Scottish Premiership,SC0,1011,celtic,hamilton,1.2451,2.561,3,0.7124,1.4,1.48,,,,,3:1,sieg,1
2010-10-03,Premier League,E0,1011,Liverpool,blackpool,1.399,2.797,29,0.4632,2.16,2.27,,,,,1:2,niederlage,0
2010-10-03,Eredivisie,N1,1011,ajax,utrecht,1.2658,3.225,6,0.6803,1.47,1.55,,,,,1:2,niederlage,0
2010-10-03,Eredivisie,N1,1011,twente,groningen,1.7209,3.225,28,0.3004,3.33,3.51,,,,,4:2,sieg,1
2010-10-16,Premier League,E0,1011,Arsenal,birmingham,1.3518,2.797,33,0.4833,2.07,2.18,,,,,2:1,sieg,1
2010-10-16,Süper Lig,T1,1011,besiktas,manisaspor,1.4938,2.739,7,0.497,2.01,2.12,,,,,2:3,niederlage,0
