match_id,league,league_name,season,season_name,date,time,home_team,away_team,home_team_raw,away_team_raw,fthg,ftag,ftr,hthg,htag,hr,ar,b365h,b365d,b365a
I1-2122-2021-11-20-atalanta-spezia,I1,Serie A,2122,2021/22,2021-11-20,14:00,atalanta,spezia,Atalanta,Spezia,5,2,H,3,1,0,0,1.25,6.5,9.5
I1-2122-2021-11-20-lazio-juventus,I1,Serie A,2122,2021/22,2021-11-20,17:00,lazio,juventus,Lazio,Juventus,0,2,A,0,1,0,0,3,3.4,2.35
I1-2122-2021-11-20-fiorentina-milan,I1,Serie A,2122,2021/22,2021-11-20,19:45,fiorentina,milan,Fiorentina,Milan,4,3,H,2,0,0,0,3.1,3.5,2.25
I1-2122-2021-11-21-sassuolo-cagliari,I1,Serie A,2122,2021/22,2021-11-21,11:30,sassuolo,cagliari,Sassuolo,Cagliari,2,2,D,1,1,0,0,1.6,4.2,5.25
I1-2122-2021-11-21-bologna-venezia,I1,Serie A,2122,2021/22,2021-11-21,14:00,bologna,venezia,Bologna,Venezia,0,1,A,0,0,0,0,1.61,4,5.5
I1-2122-2021-11-21-salernitana-sampdoria,I1,Serie A,2122,2021/22,2021-11-21,14:00,salernitana,sampdoria,Salernitana,Sampdoria,0,2,A,0,2,0,0,3.1,3.25,2.37
I1-2122-2021-11-21-inter-napoli,I1,Serie A,2122,2021/22,2021-11-21,17:00,inter,napoli,Inter,Napoli,3,2,H,2,1,0,0,2.2,3.5,3.25
I1-2122-2021-11-21-genoa-roma,I1,Serie A,2122,2021/22,2021-11-21,19:45,genoa,roma,Genoa,Roma,0,2,A,0,0,0,0,4.75,3.9,1.7
I1-2122-2021-11-22-verona-empoli,I1,Serie A,2122,2021/22,2021-11-22,17:30,verona,empoli,Verona,Empoli,2,1,H,0,0,0,0,1.7,4,4.5
I1-2122-2021-11-22-torino-udinese,I1,Serie A,2122,2021/22,2021-11-22,19:45,torino,udinese,Torino,Udinese,2,1,H,1,0,0,0,2.05,3.4,3.7
I1-2122-2021-11-26-cagliari-salernitana,I1,Serie A,2122,2021/22,2021-11-26,19:45,cagliari,salernitana,Cagliari,Salernitana,1,1,D,0,0,0,0,1.83,3.6,4.33
I1-2122-2021-11-27-empoli-fiorentina,I1,Serie A,2122,2021/22,2021-11-27,14:00,empoli,fiorentina,Empoli,Fiorentina,2,1,H,0,0,0,0,3.4,3.4,2.15
I1-2122-2021-11-27-sampdoria-verona,I1,Serie A,2122,2021/22,2021-11-27,14:00,sampdoria,verona,Sampdoria,Verona,3,1,H,0,1,0,0,2.9,3.5,2.37
I1-2122-2021-11-27-juventus-atalanta,I1,Serie A,2122,2021/22,2021-11-27,17:00,juventus,atalanta,Juventus,Atalanta,0,1,A,0,1,0,0,2.2,3.5,3.25
I1-2122-2021-11-27-venezia-inter,I1,Serie A,2122,2021/22,2021-11-27,19:45,venezia,inter,Venezia,Inter,0,2,A,0,1,0,0,8,5,1.36
