ebene,liga,liga_name,team,markiert,gegnerstaerke,minutenfenster,faelle,treffer,trefferquote,ci_unten,ci_oben,mindestquote,mindestquote_konservativ,belastbar
team,F1,Ligue 1,Nancy,nein,stark,alle,3,0,0.0,0.0,56.2,,,nein
team,F1,Ligue 1,Nancy,nein,schwach,alle,1,0,0.0,0.0,79.3,,,nein
team,F1,Ligue 1,Dijon,nein,stark,alle,15,2,13.3,3.7,37.9,9.08,32.41,ja
team,F1,Ligue 1,Dijon,nein,schwach,alle,14,2,14.3,4.0,39.9,8.48,30.2,ja
team,F1,Ligue 1,Metz,nein,stark,alle,19,0,0.0,0.0,16.8,,,ja
team,F1,Ligue 1,Metz,nein,schwach,alle,16,1,6.2,1.1,28.3,19.38,108.91,ja
team,F1,Ligue 1,Bastia,nein,stark,alle,1,0,0.0,0.0,79.3,,,nein
team,F1,Ligue 1,Bastia,nein,schwach,alle,1,0,0.0,0.0,79.3,,,nein
team,E0,Premier League,Huddersfield,nein,stark,alle,9,0,0.0,0.0,29.9,,,nein
team,E0,Premier League,Huddersfield,nein,schwach,alle,7,0,0.0,0.0,35.4,,,nein
team,E0,Premier League,Brighton,nein,stark,alle,18,1,5.6,1.0,25.8,21.8,122.63,ja
team,E0,Premier League,Brighton,nein,schwach,alle,19,3,15.8,5.5,37.6,7.67,21.94,ja
team,SP1,La Liga,Girona,nein,stark,alle,9,2,22.2,6.3,54.7,5.45,19.15,nein
team,SP1,La Liga,Girona,nein,schwach,alle,9,4,44.4,18.9,73.3,2.72,6.41,nein
team,I1,Serie A,Spal,nein,stark,alle,8,2,25.0,7.1,59.1,4.84,16.94,nein
team,I1,Serie A,Spal,nein,schwach,alle,10,0,0.0,-0.0,27.8,,,ja
team,I1,Serie A,Benevento,nein,stark,alle,10,0,0.0,-0.0,27.8,,,ja
team,I1,Serie A,Benevento,nein,schwach,alle,9,1,11.1,2.0,43.5,10.9,60.88,nein
team,F1,Ligue 1,Amiens,nein,stark,alle,2,0,0.0,0.0,65.8,,,nein
team,F1,Ligue 1,Amiens,nein,schwach,alle,5,0,0.0,-0.0,43.4,,,nein
team,F1,Ligue 1,Strasbourg,nein,stark,alle,14,1,7.1,1.3,31.5,16.95,95.19,ja
team,F1,Ligue 1,Strasbourg,nein,schwach,alle,17,5,29.4,13.3,53.1,4.12,9.12,ja
team,E0,Premier League,Wolves,nein,stark,alle,18,4,22.2,9.0,45.2,5.45,13.45,ja
team,E0,Premier League,Wolves,nein,schwach,alle,20,1,5.0,0.9,23.6,24.22,136.35,ja
team,E0,Premier League,Cardiff,nein,stark,alle,4,0,0.0,0.0,49.0,,,nein
team,E0,Premier League,Cardiff,nein,schwach,alle,5,3,60.0,23.1,88.2,2.02,5.25,nein
team,E0,Premier League,Fulham,nein,stark,alle,15,1,6.7,1.2,29.8,18.16,102.05,ja
team,E0,Premier League,Fulham,nein,schwach,alle,17,2,11.8,3.3,34.3,10.29,36.83,ja
team,SP1,La Liga,Huesca,nein,stark,alle,4,0,0.0,0.0,49.0,,,nein
team,SP1,La Liga,Huesca,nein,schwach,alle,9,1,11.1,2.0,43.5,10.9,60.88,nein
team,SP1,La Liga,Valladolid,nein,stark,alle,6,0,0.0,0.0,39.0,,,nein
team,SP1,La Liga,Valladolid,nein,schwach,alle,9,1,11.1,2.0,43.5,10.9,60.88,nein
team,D1,Bundesliga,Nurnberg,nein,stark,alle,1,0,0.0,0.0,79.3,,,nein
team,D1,Bundesliga,Nurnberg,nein,schwach,alle,3,0,0.0,0.0,56.2,,,nein
team,D1,Bundesliga,Fortuna Dusseldorf,nein,stark,alle,6,0,0.0,0.0,39.0,,,nein
team,D1,Bundesliga,Fortuna Dusseldorf,nein,schwach,alle,1,0,0.0,0.0,79.3,,,nein
team,I1,Serie A,Parma,nein,stark,alle,6,0,0.0,0.0,39.0,,,nein
team,I1,Serie A,Parma,nein,schwach,alle,10,0,0.0,-0.0,27.8,,,ja
team,F1,Ligue 1,Nimes,nein,stark,alle,8,0,0.0,0.0,32.4,,,nein
team,F1,Ligue 1,Nimes,nein,schwach,alle,12,2,16.7,4.7,44.8,7.27,25.78,ja
team,E0,Premier League,Sheffield United,nein,stark,alle,6,0,0.0,0.0,39.0,,,nein
team,E0,Premier League,Sheffield United,nein,schwach,alle,15,1,6.7,1.2,29.8,18.16,102.05,ja
team,SP1,La Liga,Mallorca,nein,stark,alle,7,0,0.0,0.0,35.4,,,nein
team,SP1,La Liga,Mallorca,nein,schwach,alle,9,3,33.3,12.1,64.6,3.63,10.04,nein
