timestamp,player_id,name,price
2026-09-25T21:47:20Z,232580,Gabriel,17000
2026-09-25T21:47:20Z,245830,Yui Hasegawa,8300
2026-09-25T21:47:20Z,212622,Joshua Kimmich,8600
2026-09-25T21:47:20Z,203376,Virgil van Dijk,44000
2026-09-25T21:47:20Z,234378,Declan Rice,8300
2026-09-25T21:47:20Z,276359,Barbra Banda,8400
2026-09-25T21:47:20Z,264012,Sophia Wilson,258000
2026-09-25T21:47:20Z,258980,Alessia Russo,13000
2026-09-25T21:47:20Z,248822,Klara Bühl,8200
2026-09-25T21:47:20Z,237289,Patri Guijarro,204000
2026-09-25T21:47:20Z,236479,Mapi León,8200
2026-09-25T21:47:20Z,241084,Luis Díaz,9300
2026-09-25T21:47:20Z,272834,João Neves,30250
2026-09-25T21:47:20Z,235212,Achraf Hakimi,190000
2026-09-25T21:47:20Z,243715,William Saliba,101000
2026-09-25T21:47:20Z,200389,Jan Oblak,10500
2026-09-25T21:47:20Z,220901,David Raya,32500
2026-09-25T21:47:20Z,256790,Jamal Musiala,15000
2026-09-25T21:47:20Z,246669,Bukayo Saka,5800
2026-09-25T21:47:20Z,209331,Mohamed Salah,12250
2026-09-25T21:47:20Z,212831,Alisson,30000
2026-09-25T21:47:20Z,239818,Rúben Dias,5500
2026-09-25T21:47:20Z,263009,Hannah Hampton,5900
2026-09-25T21:47:20Z,259287,Pernille Harder,5900
2026-09-25T21:47:20Z,258310,Ann-Katrin Berger,5600
2026-09-25T21:47:20Z,257008,Lauren Hemp,6000
2026-09-25T21:47:20Z,253436,Ona Batlle,6100
2026-09-25T21:47:20Z,233746,Vivianne Miedema,5400
2026-09-25T21:47:20Z,233662,Sakina Karchaoui,60500
2026-09-25T21:47:20Z,232075,Rose Lavelle,6600
2026-09-25T21:47:20Z,227361,Kadidiatou Diani,60000
2026-09-25T21:47:20Z,227190,Irene Paredes,5400
2026-09-25T21:47:20Z,226893,Debinha,7800
2026-09-25T21:47:20Z,213331,Jonathan Tah,5800
2026-09-25T21:47:20Z,235073,Gregor Kobel,11750
2026-09-25T21:47:20Z,247819,Nico Schlotterbeck,15000
2026-09-25T21:47:20Z,229558,Dayot Upamecano,39500
2026-09-25T21:47:20Z,215698,Mike Maignan,11000
2026-09-25T21:47:20Z,231478,Lautaro Martínez,5800
2026-09-25T21:47:20Z,239053,Federico Valverde,394000
2026-09-25T21:47:20Z,278219,Tabitha Chawinga,45500
2026-09-25T21:47:20Z,269404,Salma Paralluelo,225000
2026-09-25T21:47:20Z,207865,Marquinhos,19250
2026-09-25T21:47:20Z,266928,Trinity Rodman,6700
2026-09-25T21:47:20Z,236772,Dominik Szoboszlai,28000
2026-09-25T21:47:20Z,256630,Florian Wirtz,9800
2026-09-25T21:47:20Z,222665,Martin Ødegaard,4100
2026-09-25T21:47:20Z,257001,Chloe Kelly,13000
2026-09-25T21:47:20Z,265239,Katie McCabe,3900
2026-09-25T21:47:20Z,243404,Georgia Stanway,21750
2026-09-25T21:47:20Z,233731,Alexander Isak,18750
2026-09-25T21:47:20Z,241651,Viktor Gyökeres,7100
2026-09-25T21:47:20Z,251570,Rayan Cherki,57000
2026-09-25T21:47:20Z,256079,Moisés Caicedo,10000
2026-09-25T21:47:20Z,192985,Kevin De Bruyne,2300
2026-09-25T21:47:20Z,271446,Vicky López,16000
2026-09-25T21:47:20Z,243014,Bryan Mbeumo,21750
2026-09-25T21:47:20Z,261855,Kika Nazareth,64000
2026-09-25T21:47:20Z,232656,Theo Hernández,9400
2026-09-25T21:47:20Z,253163,Ronald Araujo,1700
